,precision,recall,f1-score,support
0,0.47368421052631576,0.8059701492537313,0.5966850828729282,67.0
1,0.9895953757225433,0.9558905639307649,0.9724510082362965,1791.0
2,0.8181818181818182,0.75,0.782608695652174,12.0
3,0.5625,0.5625,0.5625,16.0
4,0.4230769230769231,0.7333333333333333,0.5365853658536586,15.0
5,0.4444444444444444,0.8,0.5714285714285714,5.0
accuracy,0.9438614900314796,0.9438614900314796,0.9438614900314796,0.9438614900314796
macro avg,0.6185804619920074,0.7679490077529717,0.6703764540072714,1906.0
weighted avg,0.9609069873614354,0.9438614900314796,0.9501232339960478,1906.0
